id,JUST_IND,JUST_100,WGT_SCORE,PAY,TREAT,SUPPLY,COMM,JOBS,PROD,CUST,LEAD,ENV,INVEST,PAY.LIVING,PAY.PTO,PAY.HEALTH,PAY.FAIR,PAY.RETIRE,PAY.DISC,PAY.CEO,TREAT.SAFE,TREAT.WLB,TREAT.EDU,TREAT.DISC,TREAT.LAYOFF,TREAT.RESPECT,SUPPLY.ABUSE,SUPPLY.CONFLICT,SUPPLY.REPRESS,COMM.RELS,COMM.CHARITY,JOBS.US,PROD.BEN,PROD.QUAL,CUST.FAIR,CUST.RELS,CUST.DISC,CUST.PRIV,LEAD.LAWS,LEAD.INTEGRITY,LEAD.TRUTH,LEAD.TAX,LEAD.POLITICS,ENV.POLLUTION,ENV.MGMT,ENV.EFFICIENT,INVEST.ACCURATE,INVEST.PROFIT,INVEST.RETURN
62,3,No,52.55745719,55.22519477,48.08984404,58.2895731,56.42107604,50,70.73559424,50.62610097,50.57161188,43.91357943,55.81535431,56.45856133,44.75959474,56.46081593,65.05288325,44.88713805,45.26698471,49.57232577,44.00166268,60.32415444,73.90769165,54.04922586,50,35.2720687,51.73795749,74.52568446,54.49013255,60.45021479,43.90231644,50,99.42385628,46.33927692,50,55.55931939,50,48.00231572,56.42284076,57.27016936,50,30.78448724,20.83734879,33.27305502,48.33916121,50.66167998,60.22842851,57.60736493,34.28764426
63,3,No,50.73504845,54.9971354,49.48753017,63.47492955,56.42107604,50,47.91121122,52.931674,57.01012606,51.31476194,-12.29987512,56.45856133,62.80987951,78.54509006,47.93583519,68.283299,45.26698471,54.43788433,19.21725361,64.81862042,73.90769165,54.04922586,50,66.59231564,67.45832969,66.64177341,54.49013255,60.45021479,43.90231644,50,49.75968952,46.33927692,50,55.55931939,50,56.15079433,56.42284076,65.79105418,50,55.91004939,27.92498048,39.64956721,57.70025258,56.86975489,-58.67705292,54.48500966,55.04116282
65,3,Yes,56.05511832,59.24077346,70.19997763,69.05159665,71.66354439,29.37498588,44.48755376,50.62610097,48.18125637,52.71415742,32.04484808,56.45856133,44.75959474,62.09844745,55.56234048,50.78230657,81.94785318,50.86037623,71.01869679,72.85134775,58.25183721,95.89122644,50,49.93899566,75.31851579,74.52568446,54.49013255,60.45021479,106.5039869,29.37498588,42.3100645,46.33927692,50,55.55931939,50,48.00231572,47.27209903,39.29130308,50,58.77106231,79.3103102,32.88777037,67.06134395,57.95677004,20.59326803,50.10427604,45.76153703
67,3,No,52.19684422,53.55029438,52.28863133,48.73425418,56.42107604,46.48631695,47.91121122,51.77888749,54.41051249,46.09592106,57.72782588,56.45856133,62.80987951,35.59029311,55.61197683,72.77226167,45.26698471,56.12855827,60.21188315,45.98862238,46.43279166,54.04922586,50,45.62843174,43.8777714,50.87395131,54.49013255,60.45021479,43.90231644,46.48631695,49.75968952,46.33927692,50,55.55931939,50,52.07655503,56.42284076,58.55948964,50,48.28290462,50,39.69246514,48.33916121,50.66167998,60.22842851,55.13125514,52.23285501
68,3,No,54.35457788,50.6028824,54.10451809,46.74492827,37.56887712,50,99.74081895,48.32051411,54.16220286,47.93415639,56.72252502,56.45856133,44.75959474,53.42379767,44.67574472,68.30745531,45.26698471,53.79266252,44.00166268,43.93119276,60.17024166,54.04922586,50,67.33153787,43.8777714,42.99004026,54.49013255,35.53047182,43.90231644,50,104.390273,95.78695256,50,55.55931939,50,39.85378822,56.42284076,56.05307054,50,51.20171578,50,50.2692336,43.65861552,50.4237978,60.22842851,57.00238779,41.74284324
70,3,No,53.44622146,57.45307916,51.21959466,46.74492827,37.56887712,50,58.18218358,55.23726086,52.14701434,48.20282976,61.92865699,56.45856133,44.75959474,33.83853293,68.69896866,83.64260292,45.26698471,59.55325514,49.4050695,39.17236275,49.73300536,54.04922586,50,53.63965828,43.8777714,42.99004026,54.49013255,35.53047182,43.90231644,50,72.10856456,46.33927692,50,55.55931939,50,64.29932184,56.42284076,60.72623014,50,29.68854367,50,46.09976779,48.33916121,50.4237978,60.22842851,68.03210918,57.6141178
72,3,No,54.04683706,61.08567718,43.98002045,46.74492827,56.42107604,78.17907523,41.63450589,53.16223684,53.60601906,53.93728127,63.9549131,56.45856133,44.75959474,75.42345229,75.489739,50,45.26698471,54.3912833,44.00166268,61.89628281,33.60368871,12.20722529,50,76.45425516,43.8777714,42.99004026,54.49013255,60.45021479,43.90231644,78.17907523,36.10204366,46.33927692,50,55.55931939,50,56.96566175,56.42284076,62.80628263,50,35.39167393,50,67.71778869,43.65861552,50.66167998,60.22842851,64.42119007,78.45965401
77,3,No,52.16041821,55.64073966,59.43657217,49.0802239,37.56887712,53.59700286,41.63450589,48.32051411,41.12642861,53.86249058,61.08908924,56.45856133,26.70930997,55.2933562,59.08095578,81.01984399,45.26698471,59.55706391,49.4050695,80.19921898,61.07858871,54.04922586,50,74.44174604,43.8777714,52.24506628,54.49013255,35.53047182,43.90231644,53.59700286,36.10204366,46.33927692,50,55.55931939,50,39.85378822,14.35852818,71.23624272,50,36.49984404,50,67.70757043,43.65861552,50.4237978,60.22842851,69.29182814,49.41569936
80,3,No,52.7769814,54.81229013,54.47411893,48.73425418,37.56887712,50,49.05243037,55.23726086,52.60701158,53.83160133,43.96637749,56.45856133,44.75959474,36.59411534,76.21086998,7.581052012,45.26698471,51.57813757,49.4050695,43.40357549,20.33970092,54.04922586,50,73.70990281,43.8777714,50.87395131,54.49013255,35.53047182,43.90231644,50,52.24289785,46.33927692,50,55.55931939,50,64.29932184,56.42284076,55.83482087,50,41.51050691,50,64.03828226,43.65861552,54.48158507,60.22842851,28.91786499,4.820762344
82,4,No,52.76866946,49.93738222,61.20244051,58.07254452,68.42528053,50,70.8095775,36.49718985,51.18660311,43.20086764,35.11991432,54.81125224,65.07581144,44.91938275,58.29210827,72.46424024,50,7.814316354,59.84535006,76.27245925,54.85226231,58.84844533,50,67.52309135,67.68766866,50,50,68.13056242,69.34098621,50,38.94696452,97.90534286,50,16.94217278,50,27.31478797,53.59103978,59.50078917,50,32.24048584,49.89953429,11.80287285,64.49591547,53.21660064,16.59398243,67.28179269,51.84281638
